0.012s
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x2, wall time: 0.006566s, L3 cache miss ratio: 13964128495768700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x3, wall time: 0.006345s, L3 cache miss ratio: 14041404720485500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x4, wall time: 0.006920s, L3 cache miss ratio: 14006420015666300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x5, wall time: 0.007190s, L3 cache miss ratio: 14024516986623100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x6, wall time: 0.007632s, L3 cache miss ratio: 14056186461131900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x7, wall time: 0.008452s, L3 cache miss ratio: 13991787585688700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x8, wall time: 0.008386s, L3 cache miss ratio: 13983046421042300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x9, wall time: 0.008160s, L3 cache miss ratio: 14023443635557500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x10, wall time: 0.008712s, L3 cache miss ratio: 14015380069733500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x11, wall time: 0.008800s, L3 cache miss ratio: 13982356554290300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_1x12, wall time: 0.008362s, L3 cache miss ratio: 14049954565887100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x1, wall time: 0.006341s, L3 cache miss ratio: 14026465532056700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x2, wall time: 0.007840s, L3 cache miss ratio: 13969995434955900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x3, wall time: 0.008234s, L3 cache miss ratio: 13988560708555900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x4, wall time: 0.009322s, L3 cache miss ratio: 14018201513317500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x5, wall time: 0.023278s, L3 cache miss ratio: 13985738193458300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x6, wall time: 0.008485s, L3 cache miss ratio: 14062420294194300.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x7, wall time: 0.008596s, L3 cache miss ratio: 14018383707083900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x8, wall time: 0.008688s, L3 cache miss ratio: 14016693583615100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x9, wall time: 0.008772s, L3 cache miss ratio: 14062229106431100.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x10, wall time: 0.008963s, L3 cache miss ratio: 14032195574731900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x11, wall time: 0.009264s, L3 cache miss ratio: 13994845574091900.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_2x12, wall time: 0.009853s, L3 cache miss ratio: 14039869673624700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_3x1, wall time: 0.007223s, L3 cache miss ratio: 14023924192613500.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_3x2, wall time: 0.007936s, L3 cache miss ratio: 14029224896664700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_3x3, wall time: 0.008990s, L3 cache miss ratio: 14047486159000700.000%, FLOPS:4361373.000000
/root/spmv/data/test_matrices/lp_osa_60_linear.mtx: bcsr_3x4, wall time: 0.008883s, L3 cache miss ratio: 13997596466533500.000%, FLOPS:4361373.000000
